$Vg drain.current gate.current source.current 
-0.8 -6.78762e-18 6.63938e-21 6.78098e-18
-0.7 -2.92166e-16 3.51935e-21 2.92162e-16
-0.6 -1.21645e-14 -2.49519e-21 1.21645e-14
-0.5 -5.05039e-13 3.064e-21 5.05039e-13
-0.4 -1.9071e-11 2.56629e-18 1.9071e-11
-0.3 -5.55746e-10 -2.48444e-19 5.55746e-10
-0.2 -8.52609e-09 -3.36184e-18 8.52609e-09
-0.1 -3.93477e-08 -3.7145e-17 3.93477e-08
0 -7.14899e-08 -3.2294e-17 7.14899e-08
0.1 -9.39371e-08 -6.24767e-17 9.39371e-08
0.2 -1.0981e-07 -4.9147e-17 1.0981e-07
0.3 -1.21684e-07 -5.44981e-17 1.21684e-07
0.4 -1.31009e-07 3.51722e-16 1.31009e-07
0.5 -1.38622e-07 1.55868e-17 1.38622e-07
0.6 -1.4503e-07 -4.82167e-17 1.4503e-07
0.7 -1.50553e-07 -6.33039e-17 1.50553e-07
